28
Bot1 Team1
Bot2 Team2
Bot3 Team3
Bot4 Team4
Bot5 Team5
Bot6 Team6
Bot7 Team7
Bot8 Team8
Bot9 Team9
Bot10 Team10
Bot11 Team11
Bot12 Team12
Bot13 Team13
Bot14 Team14
Bot15 Team15
Bot16 Team16
Bot17 Team17
Bot18 Team18
Bot19 Team19
Bot20 Team20
Bot21 Team21
Bot22 Team22
Bot23 Team23
Bot24 Team24
Bot25 Team25
Bot26 Team26
Bot27 Team27
Bot28 Team28
