Date,Rating
2024-09-23,1400
2024-09-24,1466.4
2024-09-26,1442.11
2024-09-30,1444.21
2024-10-09,1536.13
2024-10-11,1509.72
2024-10-14,1671.16
2024-10-16,1616.93
2024-10-23,1636.26
2024-10-28,1640.56
2024-10-30,1577.13
2024-11-06,1677.58
2024-11-11,1583.18
2024-11-13,1601.73
